CodigoDoProduto;CodigoDoProdutoI;Referencia;Codigo_barra;id;NomeProduto;Marca;Unidade;Localizacao;Preco1;PrecoCusto;CodigoDoFornecedor;EstoqueMinimo;EstoqueMaximo;Estoque;Complemento;NCM;CodigoDoGrupo
"BPSA009/180	";;15988067760;;;SAPATA DE FREIO FORD KA 2014/....;SOUZA CAR;UN;"	";240;0;;0;0;1;;87083090;
"SP363	";;15988064672;;;AMORTECEDOR TRASEIRO FIESTA 2010/... FORD KA/  2014/2020 SIMILAR HG41142 AMD13206;SOUZA CAR;UN;"	G2 R3 P1 LA - 18";350;0;;0;0;0;;87088000;
"SP067	";;15988061537;;;AMORTECEDOR DIANTEIRO ESQUERDO FORD KA 1.0 2014/...;SOUZA CAR;UN;"	";400;0;;0;0;0;;87088000;
"SP066	";;15988059440;;;AMORTECEDOR DIANTEIRO DIREITO FORD KA 1.0 2014/...;SOUZA CAR;UN;"	";400;0;;0;0;0;;87088000;
"APX2416	";;15987783027;;;PALHETA CITROEN/FLUENCE 2011/2018;SOUZA CAR;UN;"	";70;0;;0;0;2;;85124010;
"FL10M	";;15987749804;;;FITA ISOLANTE 10 METROS PRETA 604303 YNFI10M;SOUZA CAR;UN;"	";10;3,21;;0;0;18;;59061000;
"CHV21	";;15987748035;;;CHAVE DE VELA CURTA 21MM;SOUZA CAR;UN;"	";30;0;;0;0;0;;82011100;
"CHV16	";;15987747094;;;CHAVE DE VELA CURTA 16MM;SOUZA CAR;UN;"	";30;0;;0;0;0;;82041100;
"N1375	";;15987628885;;;N1375 PASTILHA HILUX ... SIMILAR   SYL1391;SOUZA CAR;UN;"	R2 P4 LA - 42";270;116,59;;0;0;2;;;
"DAC458441	";;15987236831;;;ROLAMENTO DIANTEIRO TUCSON 2004/... SIMILAR(GB43240T025);SOUZA CAR;UN;"	R3 P2 LB - 27";200;0;;0;0;1;;84821090;
"6PK2175	";;15986555111;;;CORREIA DO ALTERNADOR FIESTA/KA/GRANVITARA 09/...COURIER 99/...;SOUZA CAR;UN;"	G3 R3 P2 LA - 16";190;89,81;;0;0;1;;;
"30035	";;15986465698;;;POLIA ALTERNADOR CORSA/MOTANA/MERIVA 1.4/1.8/2.0;SOUZA CAR;UN;"	";70;0;;0;0;1;;84835010;
"05510BRGF	";;15986262934;;;RETENTOR DA POLIA 306/307 1.8/2.0 16V;SOUZA CAR;UN;"	R2 P3 LB - 45";110;0;;0;0;4;;;
"BA8187	";;15984792998;;;BRACO AXIAL CORSA  02/12/MERIVA/MONTANA;SOUZA CAR;UN;"	";60;0;;0;0;0;;87089490;
"5312258	";;15984645350;;;BIELETA DIANTEIRA LE CIVIC 2007/...;SOUZA CAR;UN;"	";100;0;;0;0;0;;;
"5312257	";;15984645349;;;BIELETA DIANTEIRA LD CIVIC 2007/...;SOUZA CAR;UN;"	";90;0;;0;0;0;;;
"124002	";;15984245250;;;ANEL VEDRADOR ;SOUZA CAR;UN;"	";30;0;;0;0;0;;;
"SW2014	";;15984240284;;;SENSOR ESTACIONAMENTO PRATA;SOUZA CAR;UN;"	";110;0;;0;0;1;;85123000;
"SW2006	";;15984237942;;;SENSOR ESTACIONAMENTO BRANCO;SOUZA CAR;UN;"	";110;0;;0;0;1;;85123000;
"JH5003	";;15984228787;;;TAPETE BEGE FIAT;SOUZA CAR;UN;"	";80;42,5;;0;0;0;;39181000;
"JH4012	";;15984227750;;;TAPETE VERMELHO CITROEN;SOUZA CAR;UN;"	";80;0;;0;0;0;;39180000;
"AVX11245	";;15984127076;;;LAMPADA LED TORPEDO 41MM;SOUZA CAR;UN;"	";30;0;;0;0;0;;;
"12300	";;15984117657;;;SUPORTE COXIM FRONTAL;SOUZA CAR;UN;"	";80;0;;0;0;0;;;
"12400	";;15984117656;;;SUPORTE COXIM GOL ;SOUZA CAR;UN;"	";185;0;;0;0;0;;;
"VT26987	";;15983970442;;;VALVULA TERMOSTATICA FIORINO 93/...;SOUZA CAR;UN;"	";250;0;;0;0;0;;;
"6DPK1195	";;15983803394;;;CORREIA ALTERNADOR GOLF/BORA/JETTA 2.0 8V COM AR E DH 99/...;SOUZA CAR;UN;"	G3 R3 P3 LA - 45";250;0;;0;0;1;;;
"10288	";;15983195361;;;KIT DA BARRA ESTABILIZADORA DIANTEIRA FURO 23 MM;SOUZA CAR;UN;"	";40;0;;0;0;1;;87088000;
"10287	";;15983191183;;;KIT DA BARRA ESTABILIZADORA DIANTEIRA ESQUERDA PALIO/WEEKEND 23MM;SOUZA CAR;UN;"	";40;0;;0;0;1;;87088000;
"120	";;15982699921;;;VALE CREDITO;SOUZA CAR;UN;"	";210;0;;0;0;0;;;
"2400505	";;15982497493;;;CAIXA DE DIREÇAO CORSA/CELTA 2001/...;SOUZA CAR;UN;"	";650;0;;0;0;1;;;
"350VBL	";;15982317222;;;KIT CAPA DE CORREIA DENTADA GOL 1.0 2002/...;SOUZA CAR;UN;"	";110;0;;0;0;0;;84099190;
"H27	";;15981604759;;;LAMPADA H27 12V;SOUZA CAR;UN;"	";30;0;;0;0;0;;85392110;
"141709ML	";;15981069955;;;JUNTA DA TAMPA DE VALVULAS PALIO 1.6 16V 96/...SIMILAR 97013;SOUZA CAR;UN;"	G2 R2 P6 LA - 27";70;0;;0;0;0;;;
"PVI9171	";;15981054403;;;PIVO DE SUSPENSAO INFERIOR DIREITO/ESQUERDO COROLLA 2009/....;SOUZA CAR;UN;"	R3 P3 LA - 16";130;43,04;;0;0;0;;87088000;
"RHO4479	";;15980342075;;;INTERRUPTOR DA LUZ DE RE ESCORT/VERONA/LOGUS/;SOUZA CAR;UN;"	";70;0;;0;0;0;;85365090;
"PEU	";;15979081685;;;BANDEJA DO PEUGEOT PARTHNER LD DIREITO;SOUZA CAR;UN;"	";350;0;;0;0;0;;;
"	";;15978838317;;;BARRA DE DIREÇÃO SAVEIRO L/E;SOUZA CAR;UN;"	";360;0;;0;0;0;;;
"142249	";;15978235680;;;JUNTA DE SAIDA DO ESCAPAMENTO UNO/PALIO/SIENA/IDEIA/PUNTO/FIRE 1.0 1.3 1.4;SOUZA CAR;UN;"	G2 R2 P6 LA - 11";20;0;;0;0;2;;84841000;
"	";;15978146170;;;COXIM ESCAMENTO CLIO 2000...;SOUZA CAR;UN;"	";10;0;;0;0;0;;;
"UB421	";;15978003547;;;BOMBA AGUA HB20 1.0 3 CILINDROS SIMILAR-854513 INDISA 20261;SOUZA CAR;UN;"	R2 P6 LB - 20";290;142,62;;0;0;0;;;
"30870	";;15977711125;;;COXIM TRASEIRO DO CAMBIO MARCH VERSA 1.6 2012/...;SOUZA CAR;UN;"	";245;0;;0;0;0;;;
"F11	";;15977698728;;;TAMPA DO RADIADOR GOL/PARATI/SAVEIRO/PASSAT/VOYAGE 74/..86;SOUZA CAR;UN;"	G3 R2 P3 LB - 34";30;13,09;;0;0;2;;87089990;
"BD4607	";;15977695515;;;BARRA DE DIRECAO REGULAVEL DIREITA GOL/PARATI/97/..99;SOUZA CAR;UN;"	";320;0;;0;0;1;;87089990;
"10727	";;15977602502;;;ENGRENAGEM DO COMANDO GOL 1.0 AT 8/16V;SOUZA CAR;UN;"	R2 P1 LB - 80";240;0;;0;0;1;;;
"397439ABS	";;15977306529;;;ROLAMENTO DIANTEIRO CHERRY QQ COM ABS 2011/...;SOUZA CAR;UN;"	";180;0;;0;0;0;;;
"HY	";;15977049782;;;LIXEIRA HYUNDAI;SOUZA CAR;UN;"	";20;0;;0;0;0;;;
"RH9256	";;15977023824;;;CILINDRO DE RODA FIESTA/KA 96/...CELTA 00/02/ESCORT/LOGUS TODOS;SOUZA CAR;UN;"	";70;0;;0;0;1;;87083090;
"BRO0110001	";;15977021413;;;MANGUEIRA DE COMBUSTIVEL PALIO 1.0/1.5 96/....;SOUZA CAR;UN;"	";140;0;;0;0;1;;87089990;
"19156	";;15976877960;;;PORCA DE RODA  L200/IX35/VELOSTER/AZERA/TUCSON/HB20/I30;SOUZA CAR;UN;"	";20;10,95;;0;0;45;;73181600;
"80353	";;15976795830;;;JOGO DE JUNTA COMPLETO DO MOTOR GOL/PARATI/SANTANA/SAVEIRO;SOUZA CAR;UN;"	";370;184,03;;0;0;2;;84849000;
"262042	";;15976389836;;;CALOTA CELTA 12/..13 ARO 13'';SOUZA CAR;UN;"	";25;0;;0;0;8;;;
"F766	";;15976287594;;;TAMPA DE OLEO DO MOTOR  CINTROEN/PEUGEOT 2009/....;SOUZA CAR;UN;"	G3 R2 P3 LB - 08";70;35,54;;0;0;4;;84099190;
"9190087032	";;15976125106;;;REGULADOR DE VOLTAGEM MONZA/KADETT/GOL/UNO;SOUZA CAR;UN;"	";85;0;;0;0;0;;;
"17059287	";;15975742782;;;INTERRUPTOR DO RADIADOR UNIVERSAL;SOUZA CAR;UN;"	G2 R2 P3 LB - 64";50;0;;0;0;3;;85364100;
"9190087027	";;15975724738;;;REGULADOR DE VOLTAGEM CORSA/MONZA/KADETT/GOL/UNO;SOUZA CAR;UN;"	";70;0;;0;0;0;;;
"3RHO4479	";;15975621462;;;INTERRUPTOR DE FREIO LOGUS/ESCORT/CELER;SOUZA CAR;UN;"	";70;0;;0;0;0;;;
"1103L7	";;15975579106;;;TAMPA DO FILTRO 206/207 1.4/1.6 TAMPA BAIXA;SOUZA CAR;UN;"	";95;0;;0;0;0;;;
"LP47001213	";;15975121707;;;REGULADOR DE PRESSAO CORSA 97/...DS1163;SOUZA CAR;UN;"	";145;0;;0;0;0;;;
"6PK725EE	";;15975060000;;;CORREIA ELASTICA GOL/FOX/VOYAGE 2009/... TODOS S/AR E DH;SOUZA CAR;UN;"	";90;0;;0;0;0;;;
"AKX1992	";;15974662167;;;FILTRO DE CABINE COROLLA 2008/...;SOUZA CAR;UN;"	";35;0;;0;0;0;;;
"4PK0735	";;15974368364;;;CORREIA POLY V CLIO/QQ 1.1;SOUZA CAR;UN;"	";75;0;;0;0;0;;;
"121249PK	";;15973806007;;;KIT RETIFICA CORSA/CELTA /1.0/94/...;SOUZA CAR;UN;"	";100;0;;0;0;0;;84842000;
"LX907	";;15973740702;;;FILTRO DE AR UNO/PREMIO/FIORINO/ELBA/92/.....;SOUZA CAR;UN;"	";25;0;;0;0;0;;84219999;
"F78	";;15973287193;;;TAMPA DO RESERVATORIO DE AGUA DO PARABRISA /CORSA/KADETT/MONZA/CHEVETTE;SOUZA CAR;UN;"	G3 R2 P3 LB - 45";20;8,24;;0;0;1;;87089990;
"VW3116	";;15973107973;;;FLANGE TERMINAL BOMBA DE AGUA GOL/SAVEIRO AP/1.6/1.8/2.0;SOUZA CAR;UN;"	";70;0;;0;0;0;;;
"VP7025	";;15973068976;;;FLANGE DE COMBUSTIVEL GOL/PARATI/95/....;SOUZA CAR;UN;"	";75;0;;0;0;0;;;
"SF950	";;15972740925;;;SACA FILTRO DE OLEO 95MM;SOUZA CAR;UN;"	";30;0;;0;0;1;;82055900;
"R18596	";;15972737574;;;LIMPA VIDROS ANTI EMBACANTE 500ML;SOUZA CAR;UN;"	";15;12,04;;0;0;12;;29032200;
"N19220	";;15972734093;;;CILINDRO DE IGNICAO GOL/PARATI/SAVEIRO/G2;SOUZA CAR;UN;"	";60;0;;0;0;0;;87082999;
"N16640	";;15972733430;;;CILINDRO DE IGNICAO GOL/VOYAGE/PARATI/SAVEIRO/87/...PASSAT 79/...;SOUZA CAR;UN;"	";60;0;;0;0;0;;87082999;
"N16500	";;15972728188;;;GATILHO DE ABERTURA DE CAPO/GOL/PASSAT/SANTANA;SOUZA CAR;UN;"	";10;0;;0;0;2;;83023000;
"FT1907NP	";;15972672579;;;FEIXO DE MOLA TRASEIRO UNO/85/....;SOUZA CAR;UN;"	";500;0;;0;0;0;;73201000;
"ANEL	";;15971747793;;;ANEL DE VEDRACAO DA CEBOLINHA ;SOUZA CAR;UN;"	";3;0;;0;0;0;;;
"GM	";;15971739717;;;LIXEIRA GM;SOUZA CAR;UN;"	";20;0;;0;0;0;;;
"FIAT	";;15971739716;;;LIXEIRA FIAT;SOUZA CAR;UN;"	";20;0;;0;0;0;;;
"260795	";;15971555191;;;KIT RETIFICA UNO MILLE 8V;SOUZA CAR;UN;"	";110;0;;0;0;0;;84849000;
"M04711	";;16254422027;;;CALÇO MOLA DIANTEIRO CORSA CLASSIC;SOUZA CAR;UN;"	";20;0;;0;0;0;;;
"608334	";;16254331872;;;FAROL KOMBI/FUSCA 74/....;SOUZA CAR;UN;"	";120;0;;0;0;0;;;
"M06216	";;16254145501;;;COXIM MOTOR C4;SOUZA CAR;UN;"	";240;0;;0;0;0;;;
"GB27531M	";;16254107856;;;AMORTECEDOR TRASEIRO C3 04/12;SOUZA CAR;UN;"	";340;0;;0;0;0;;;
"SPA2343STD	";;16254093992;;;PISTAO COM ANEIS GOL 1.0 8V 2000....;SOUZA CAR;UN;"	";180;0;;0;0;4;;;
"DS1101	";;16253731602;;;REGULADOR DE PRESSAO OMEGA;SOUZA CAR;UN;"	";175;0;;0;0;0;;;
"IM11400S	";;16253715878;;;RELE FAROL FUSCA BRASILIA KOMBI VARIANT 5 TERMINAIS;SOUZA CAR;UN;"	G3 R3 P5 LA - 02";70;0;;0;0;0;;87087090;
"ICH0455	";;16253418247;;;MOLA DIANTEIRA CORSA;SOUZA CAR;UN;"	";185;0;;0;0;0;;;
"MG019	";;16252912572;;;MAGUEIRA RESPIRO DE OLEO GOL AT 1.0;SOUZA CAR;UN;"	";30;0;;0;0;3;;;
"RD6540	";;16252645527;;;RADIADOR PALIO/SIENA/STRADA/IDEA 2001/... 1.0/1.3/1.4/1.8 8/16V FIRE E MOTOR GM(COM AR E S/AR)(RV2540-12540);SOUZA CAR;UN;"	G3 R3 P3 LB - 02";320;0;;0;0;0;;87089100;
"U2115	";;16252170639;;;BOBINA SANDERO 1.6 16V;SOUZA CAR;UN;"	";400;0;;0;0;0;;;
"B296A	";;16252065494;;;REPARO CAVALETE DISTRIBUIÇÃO DE AGUA (TAMPÃO DUPLO)  GOL/FOX/SPACEFOX/SAVEIRO/VOYAGE MOTOR EA111;SOUZA CAR;UN;"	R1 P3 LA - 42";25;0;;0;0;1;;87088000;
"1736	";;16252060499;;;CONEXÃO DA ENTRADA DE ÁGUA NO CABEÇOTE FORD KA/NEW FIESTA 2014/...;SOUZA CAR;UN;"	R1 P3 LA - 19";40;0;;0;0;0;;87087090;
"B287A	";;16251990443;;;VALVULA ANTICHAMAS VW/FORD AP 1.8/ 2.0 SIMILAR 087073;SOUZA CAR;UN;"	R1 P3 LA - 02";25;0;;0;0;0;;87088000;
"EW16260335	";;16250940978;;;SENSOR DE ROTAÇAO 206 1.0 16V;SOUZA CAR;UN;"	";100;0;;0;0;0;;;
"TB6342	";;16250826283;;;CABO DE FREIO PUNTO LADO DIREITO;SOUZA CAR;UN;"	";150;0;;0;0;0;;;
"TB6341	";;16250826282;;;CABO DE FREIO PUNTO LADO ESQUERDO;SOUZA CAR;UN;"	";200;0;;0;0;0;;;
"	";;16250817667;;;ANEIS FUSCA STD;SOUZA CAR;UN;"	";150;0;;0;0;0;;;
"459562	";;16250785871;;;GRADE TIPO ;SOUZA CAR;UN;"	";90;0;;0;0;0;;;
"BTC10203	";;16250761527;;;BIELETA CIVIC 2010...;SOUZA CAR;UN;"	";70;0;;0;0;0;;;
"ACX07039	";;16250761526;;;COXIM HIDRAULICO CIVIC 2010...;SOUZA CAR;UN;"	";580;0;;0;0;0;;;
"193613	";;16250189408;;;MANGUEIRA SUPERIOR FOCUS;SOUZA CAR;UN;"	";110;0;;0;0;0;;;
"03784	";;16249785738;;;kit gicleur uno mille carb 495;SOUZA CAR;UN;"	";125;0;;0;0;0;;;
"55267	";;16249785737;;;KIT CARBURADOR UNO MILLE 495 COMPLETO;SOUZA CAR;UN;"	G3 R1 P1 LA - 13";85;0;;0;0;0;;;
"T0101200	";;16249083389;;;SENSOR DE NIVEL FIORINO FLEX;SOUZA CAR;UN;"	";120;0;;0;0;0;;;
"TB6215	";;16248180269;;;CABO ACELERADOR PALISTRADA99/.. 1.6;SOUZA CAR;UN;"	G2 R1 P2 LA - 75";60;24,92;;0;0;1;;;
"1820	";;16248107458;;;SOQUETE DE FAROL UNIVERSAL;SOUZA CAR;UN;"	";35;0;;0;0;1;;87089990;
"CAPA UNIVERSAL	";;16248048616;;;CAPA DE VOLANTE COM ANEIS UNIVERSAL;SOUZA CAR;UN;"	";35;0;;0;0;16;;87089990;
"11005	";;16248019805;;;LAMPADA COMUM 12V 2POLO SUPER PINGAO AMBAR;SOUZA CAR;UN;"	";10;0,85;;0;0;6;;87089990;
"11003	";;16248001595;;;LAMPADA COMUM 12V 1POLO SUPER PINGAO AMBAR;SOUZA CAR;UN;"	";10;0;;0;0;0;;87089990;
"ATP07005	";;16247105218;;;TRIZETA CIVIC/FIT/CRUZ/KICKS/MARCH/VERSA/FOCUS 2007/...23X40 SIMI TZP0402;SOUZA CAR;UN;"	R2 P1 LB - 40";200;0;;0;0;0;;;
"BAC11495	";;16247105217;;;COIFA RODA FIAT TORO;SOUZA CAR;UN;"	";70;0;;0;0;0;;;
"0431	";;16246833760;;;VEDA RADIADOR EM PO 30G;SOUZA CAR;UN;"	";10;0;;0;0;12;;12089000;
"MM01	";;16246456283;;;GRAXA ESPECIAL PARA ROLAMENTOS MULTIUSO;SOUZA CAR;UN;"	";10;0;;0;0;1;;27101932;
"	";;16245871957;;;FLANGE DE COMBUSTIVEL C3;SOUZA CAR;UN;"	";90;0;;0;0;0;;;
"7005E	";;16245630964;;;REFLETOR TRASEIRO CORSA LE 03/....;SOUZA CAR;UN;"	";35;0;;0;0;0;;87087090;
"3111E	";;16245580776;;;BRACO LIMPA P/BRISA CELTA 2001/...LE;SOUZA CAR;UN;"	";110;60,2;;0;0;2;;87087090;
"3103D	";;16245579399;;;BRACO LIMPA P/BRISA CORSA LD;SOUZA CAR;UN;"	";100;51,41;;0;0;2;;87087090;
"3103E	";;16245578679;;;BRACO LIMPA P/BRISA CORSA LE;SOUZA CAR;UN;"	";100;0;;0;0;0;;87087090;
"VP5170	";;16244514747;;;FLANGE CORSA 95;SOUZA CAR;UN;"	";75;0;;0;0;0;;;
"I901	";;16244163969;;;TAMPA DE COMBUSTIVEL CLIO;SOUZA CAR;UN;"	G3 R2 P3 LB - 67";90;0;;0;0;1;;;
"ES3070/S	";;16244162210;;;TAMPA COMBUSTIVEL SEM CHAVE STRADA/FOCUS/OPALA/CIVIC;SOUZA CAR;UN;"	G2 R2 P3 LA - 70";50;0;;0;0;0;;87089990;
"302643	";;16244144759;;;TAMPA DO OLEO FIESTA/KA/COURRIER 02/...ECOSPORT/FOCUS 03/...;SOUZA CAR;UN;"	G2 R2 P3 LB - 17";30;0;;0;0;2;;;
"SW	";;16243865009;;;LUVA ESFREGAO PLIM;SOUZA CAR;UN;"	";25;0;;0;0;0;;;
"M02903	";;16243858589;;;MANGUEIRA RESPIRO DE OLEO VECTRA;SOUZA CAR;UN;"	";42;0;;0;0;0;;;
"CHEVE	";;16243793411;;;KIT CHAVE COM 10 UN;SOUZA CAR;UN;"	";40;0;;0;0;0;;;
"SPA97860,50	";;16243355066;;;PISTAO COM ANEIS FOX 1.0;SOUZA CAR;UN;"	";200;0;;0;0;0;;;
"SBB1035,050	";;16243355065;;;BRONZINA BIELA 0,50;SOUZA CAR;UN;"	";180;0;;0;0;0;;;
"BC6450,50	";;16243355064;;;BRONZINA MANCAL FOX 1.0 0,50;SOUZA CAR;UN;"	";220;0;;0;0;0;;;
"IND3020	";;16242452077;;;TUCHO HIDRAULICO PALIO 1.0 16V;SOUZA CAR;UN;"	";540;0;;0;0;0;;;
"TG1615313	";;16242337199;;;SENSOR DE VELOCIDADE PALIO/SIENA/LINEA/FIORINO/DOBLO/IDEIA;SOUZA CAR;UN;"	";70;0;;0;0;1;;85432000;
"N17677	";;16241938915;;;PASTILHA FIT 2015;SOUZA CAR;UN;"	";280;0;;0;0;0;;;
"SDA90720,50	";;16241796455;;;ANEIS CORSA 0,50;SOUZA CAR;UN;"	";400;0;;0;0;0;;;
"6PK1250	";;16241788419;;;CORREIA ALTERNADOR HB20 1.6;SOUZA CAR;UN;"	";130;0;;0;0;0;;;
"NV170N	";;16241083277;;;SELO BLOCO DO MOTOR DE FERRO PALIO/IDEIA/DOBLO/STRADA SIMILAR (11577);SOUZA CAR;UN;"	";20;0;;0;0;10;;87089990;
"SSP145	";;16241049315;;;AMORTECEDOR DIANTEIRO NISSAN VERSA;SOUZA CAR;UN;"	";540;0;;0;0;0;;;
"BI2016	";;16240628024;;;BOBINA IGNIÇAO GOL G6;SOUZA CAR;UN;"	";280;0;;0;0;0;;;
"40001	";;16240072632;;;KIT COIFA HOMOCINETICA LADO RODA BRASILIA/FUSCA 67/...;SOUZA CAR;UN;"	";35;0;;0;0;2;;8708990;
"T5133	";;16239463294;;;CABO DE FREIO GOL 86...;SOUZA CAR;UN;"	G2 R1 P2 LA - 34";100;46,5;;0;0;0;;;
"AL983	";;16239158619;;;CUBO DIANTEIRO COROLLA;SOUZA CAR;UN;"	";230;0;;0;0;0;;;
"DS2504	";;16239095781;;;SENSOR DE VELOCIDADE NOVO UNO;SOUZA CAR;UN;"	";110;0;;0;0;0;;;
"WOE120	";;16239085873;;;FILTRO DE OLEO FUSION;SOUZA CAR;UN;"	";45;0;;0;0;0;;;
"DS1465	";;16238493094;;;GUARNIÇAO FLANGE COMBUSTIVEL C3;SOUZA CAR;UN;"	";28;0;;0;0;0;;;
"598190	";;16237676574;;;JUNTA DA TAMPA DE VALVULA CORSA/CELTA/MERIVA/MONTANA  99.. PALIO/SIENA/IDEIA/DOBLO/STILO/STRADA/2003/...SIMI 76351;SOUZA CAR;UN;"	R3 P8 LA - 19";35;0;;0;0;4;;40169300;
"	";;16235862807;;;CORREIA ALTERNADOR AP;SOUZA CAR;UN;"	";60;0;;0;0;0;;;
"IMS11400	";;16235852452;;;RELE DO FAROL FUSCA/KOMBI 67/...;SOUZA CAR;UN;"	";70;0;;0;0;2;;85364100;
"DNI2147	";;16235825684;;;BOTÃO PISCA ALERTA GM: VECTRA 4 TERMINAIS 97/99;SOUZA CAR;UN;"	G3 R3 P5 LA - 40";110;0;;0;0;1;;;
"792804	";;16235820726;;;SENSOR ROTAÇAO TUCSON/SPORTAGE;SOUZA CAR;UN;"	";115;0;;0;0;0;;;
"291263	";;16235785574;;;TAMPA DE COMBUSTIVEL VEDADA UNO;SOUZA CAR;UN;"	";60;0;;0;0;0;;87089990;
"	";;16235263461;;;CUBO TRASEIRO SAVEIRO 2008....;SOUZA CAR;UN;"	";350;0;;0;0;0;;;
"AL512	";;16235244248;;;PONTA DE EIXO TRASEIRO CORSA;SOUZA CAR;UN;"	R4 P1 LA - 16";190;0;;0;0;0;;;
"DOF1540	";;16235201581;;;TAMPA DE VALVULA CORSA/CELTA/PRISMA/CLASSIC/MERIVA 94/...;SOUZA CAR;UN;"	";70;0;;0;0;0;;84099190;
"15765	";;16234456211;;;PINHAO UNO;SOUZA CAR;UN;"	";35;0;;0;0;0;;;
"16750	";;16233092185;;;MANGUEIRA PARA BOMBA DE COMBUSTIVEL CORRUGADA 7.5 MM;SOUZA CAR;UN;"	";30;0;;0;0;8;;39173290;
"1405	";;16233020888;;;RESERVATORIO RADIADOR CITROEN C4;SOUZA CAR;UN;"	";230;0;;0;0;0;;;
"845540046C9	";;16231959247;;;SONDA LAMBDA HB20 1.0/1.6 2012/...PRECATALISADOR;SOUZA CAR;UN;"	";520;0;;0;0;0;;;
"12881	";;16231433943;;;REPARO TRAMBULADOR VERSA;SOUZA CAR;UN;"	";110;0;;0;0;0;;;
"SM2080,30	";;16230330029;;;BRONZINA MANCAL 207 1.4 ;SOUZA CAR;UN;"	";160;0;;0;0;0;;;
"SB2060,30	";;16230330028;;;BRONZINA BIELA PEUGEOT 207 1.4;SOUZA CAR;UN;"	";110;0;;0;0;0;;;
"ny7919	";;16228167957;;;tensor alternador st10 2.8 mwm;SOUZA CAR;UN;"	";300;0;;0;0;0;;;
"C4151	";;16227368356;;;FILTRO DE AR FIESTA/KA/ECOSPORT 02/...SIMILAR FAP9003;SOUZA CAR;UN;"	R4 P2 LB - 51";40;0;;0;0;0;;84219999;
"264256	";;16227345973;;;JUNTA CABEÇOTE ECOSPORT AÇO;SOUZA CAR;UN;"	";100;0;;0;0;0;;;
"1465432	";;16226733830;;;ARRUELA DE CALOTA;SOUZA CAR;UN;"	";2;0;;0;0;0;;;
"B1029A	";;16226605791;;;CARCACA DA VALVULA TEMOSTATICA PEUGEOT 206/207 1.4;SOUZA CAR;UN;"	";80;0;;0;0;0;;84139190;
"20092	";;16226329961;;;LANTERNA DIANTEIRA GOL/PARATI/SAVEIRO 96/99 CIBIE CRISTAL L/D 136141 102612;SOUZA CAR;UN;"	";35;0;;0;0;1;;;
"646435	";;16225566687;;;COIFA CAMBIO HONDA FIT SIMILAR 07727X A278 07727;SOUZA CAR;UN;"	G3 R1 P2 LB - 17";60;0;;0;0;0;;;
"15498	";;16225566686;;;PORCA HOMOCINETICA HONDA FIT;SOUZA CAR;UN;"	";90;0;;0;0;0;;;
"25486	";;16225566685;;;COIFA HOMOCINETICA FIT/CIVIC/CITY LADO RODA;SOUZA CAR;UN;"	";50;0;;0;0;0;;;
"20633	";;16225340737;;;RETENTOR DA SAIDA DO SEMI EIXO DIREITO HONDA FIT 03/....;SOUZA CAR;UN;"	";130;0;;0;0;1;;;
"TC1791	";;16224041168;;;CHICOTE GM;SOUZA CAR;UN;"	";40;0;;0;0;0;;;
"670014	";;16224035941;;;PALHETA ESPECIFICA DIANTEIRA FUSCA;SOUZA CAR;UN;"	";90;0;;0;0;2;;;
"7700718503	";;16221632857;;;POLIA DENTADA DO VIRABREQUIM SCENIC/LAGUNA/MEGANE 94/...2.0;SOUZA CAR;UN;"	R3 P9 LB - 27";100;0;;0;0;1;;;
"29506	";;16221149784;;;FLEXIVEL DE FREIO DIANTEIRO LOGUS;SOUZA CAR;UN;"	";81;0;;0;0;0;;;
"1564576	";;16221142928;;;JUNTA BOMBA DE OLEO PALIO;SOUZA CAR;UN;"	";18;0;;0;0;0;;;
"TC0829	";;16221000044;;;CHICOTE VIDRO ELETRICO;SOUZA CAR;UN;"	";22;0;;0;0;0;;;
"M1405	";;16220621002;;;RESERVATORIO PEUGEOT 3008;SOUZA CAR;UN;"	G4 R1 P3 LA - 15";285;0;;0;0;1;;;
"TB26006	";;16218897176;;;CABO DE EMBREAGEM CLIO;SOUZA CAR;UN;"	";150;0;;0;0;0;;;
"75090	";;16218566251;;;JUNTA DO SUPORTE FILTRO ETORQ;SOUZA CAR;UN;"	";18;0;;0;0;0;;;
"TC1199	";;16218504493;;;CHICOTE 2 VIAS;SOUZA CAR;UN;"	";30;0;;0;0;0;;;
"V29122964	";;16218186504;;;VALVULA CANISTER CLIO 1.0 16V;SOUZA CAR;UN;"	";120;0;;0;0;0;;;
"377341	";;16217971716;;;MANGUEIRA AR QUENTE SANDERO;SOUZA CAR;UN;"	";275;0;;0;0;0;;;
"4PK830	";;16217869764;;;CORREIA AR CONDICIONADO UNO;SOUZA CAR;UN;"	";75;0;;0;0;0;;;
"YNPSTC14	";;16217668633;;;PALHETA TRASEIRA CARENADA 14 CINOY UNIVERSAL;SOUZA CAR;UN;"	";35;0;;0;0;6;;85129000;
"10624-8	";;16217314932;;;COXIM MOTOR LOGUS;SOUZA CAR;UN;"	";180;0;;0;0;0;;;
"15257216	";;16216042738;;;BOBINA IGNIÇAO GOLF 96...;SOUZA CAR;UN;"	";270;0;;0;0;0;;;
"TC1225	";;16214787284;;;CHICOTE BOMBA DE COMBUSTIVEL UNIVERSAL;SOUZA CAR;UN;"	";20;0;;0;0;0;;;
